Date,Day,Project,Story Card,Time
2022-04-25,Monday,Venice,33,830
2022-04-25,Monday,Venice,Kik,930
2022-04-25,Monday,Venice,stu,1000
2022-04-25,Monday,Venice,33,1015
2022-04-25,Monday,Venice,33,1115
2022-04-25,Monday,Lunch,lunch,1200
2022-04-25,Monday,Venice,33,1230
2022-04-25,Monday,Venice,est,1445
2022-04-25,Monday,Venice,33,1515
2022-04-25,Monday,End,end,1700
2022-04-27,Wednesday,Venice,review,830
2022-04-27,Wednesday,Venice,EST,930
2022-04-27,Wednesday,Venice,95,945
2022-04-27,Wednesday,Venice,stu,1000
2022-04-27,Wednesday,Venice,kik,1015
2022-04-27,Wednesday,Lunch,lunch,1200
2022-04-27,Wednesday,Venice,95,1230
2022-04-27,Wednesday,Venice,33,1245
2022-04-27,Wednesday,Venice,96,1345
2022-04-27,Wednesday,Venice,mcr,1500
2022-04-29,Friday,Venice,mcr,815
2022-04-29,Friday,Venice,97,945
2022-04-29,Friday,Venice,stu,1000
2022-04-29,Friday,Venice,97,1015
2022-04-29,Friday,Lunch,lunch,1215
2022-04-29,Friday,Venice,97,1300
2022-04-29,Friday,Venice,33,1315
2022-04-29,Friday,Venice,80,1500
2022-04-29,Friday,Venice,97,1530
2022-04-29,Friday,Venice,33,1600
2022-04-29,Friday,End,end,1715
