Date,Day,Time,Project,Story Card
2022-06-06,Monday,830,Venice,87
2022-06-06,Monday,900,Venice,126
2022-06-06,Monday,945,Venice,92
2022-06-06,Monday,1000,Venice,stu
2022-06-06,Monday,1015,Venice,87
2022-06-06,Monday,1030,Venice,MCR
2022-06-06,Monday,1045,Venice,87
2022-06-06,Monday,1200,Lunch,lunch
2022-06-06,Monday,1230,Venice,87
2022-06-06,Monday,1400,Venice,127
2022-06-06,Monday,1415,Venice,87
2022-06-06,Monday,1430,Venice,90
2022-06-06,Monday,1515,Venice,QA GDT 89
2022-06-06,Monday,1530,Venice,QA GDT 90
2022-06-06,Monday,1545,Venice,127
2022-06-06,Monday,1600,Venice,90
2022-06-06,Monday,1700,End,end
2022-06-07,Tuesday,830,Venice,92
2022-06-07,Tuesday,1000,Venice,stu
2022-06-07,Tuesday,1015,Venice,est
2022-06-07,Tuesday,1100,Venice,mcr
2022-06-07,Tuesday,1130,Venice,92
2022-06-07,Tuesday,1200,Lunch,lunch
2022-06-07,Tuesday,1230,Venice,92
2022-06-07,Tuesday,1545,Venice,93
2022-06-07,Tuesday,1615,Venice,91
2022-06-07,Tuesday,1700,End,end
2022-06-08,Wednesday,830,Venice,93
2022-06-08,Wednesday,915,IT,Meeting
2022-06-08,Wednesday,1000,IT,stu
2022-06-08,Wednesday,1015,IT,Wilder security questionaire
2022-06-08,Wednesday,1130,IT,Backup solutions
2022-06-08,Wednesday,1200,Lunch,lunch
2022-06-08,Wednesday,1230,Ringo,28
2022-06-08,Wednesday,1315,Marketing,Public tour setup
2022-06-08,Wednesday,1400,Marketing,Lead public tour
2022-06-08,Wednesday,1530,Venice,SHO
2022-06-08,Wednesday,1545,Venice,PLG
2022-06-08,Wednesday,1600,Venice,kik
2022-06-08,Wednesday,1615,Ringo,28
2022-06-08,Wednesday,1630,Marketing,Public tour followup
2022-06-08,Wednesday,1645,End,end
2022-06-09,Thursday,830,Venice,91
2022-06-09,Thursday,1000,Venice,stu
2022-06-09,Thursday,1015,Venice,91
2022-06-09,Thursday,1200,Lunch,lunch w R and J
2022-06-09,Thursday,1300,Venice,91
2022-06-09,Thursday,1400,Ringo,28
2022-06-09,Thursday,1415,Venice,91
2022-06-09,Thursday,1445,Ringo,27
2022-06-09,Thursday,1600,Venice,91
2022-06-09,Thursday,1615,Ringo,27
2022-06-09,Thursday,1700,End,end
